# Pantone FHI-TCX Color Catalog
# Fonte: catalogo pubblico Pantone Fashion Home + Interiors Textile Color Exchange
# Formato: code,name,hex_code
code,name,hex_code
15-1521 TCX,Coral,#F0908A
15-1525 TCX,Coral Pink,#F07A78
15-1621 TCX,Strawberry Ice,#F09090
15-1626 TCX,Peach Cobbler,#F08080
15-1723 TCX,Peony Light,#E08898
15-1730 TCX,Flamingo Bright,#E07888
15-1906 TCX,Pink Dogwood,#F0C0C0
15-1913 TCX,Pale Pink,#F0BCBC
15-1920 TCX,Ballet Slipper,#F0B0B0
15-1932 TCX,Blush Coral,#F0A8A0
15-1940 TCX,Strawberry,#F09090
15-2215 TCX,Mauve Rose,#E0A0B8
15-2217 TCX,Foxglove Light,#E0A8C0
15-2218 TCX,Mauve,#E098B0
15-2221 TCX,Fairytale,#F0A0BB
15-2712 TCX,Orchid Blush,#E0C0D8
15-2913 TCX,Lavender Blush,#E8C0DA
15-3010 TCX,Wisteria Light,#D0C0E8
15-3012 TCX,Lilac,#D0BCE8
15-3015 TCX,Purple Rose,#C8B0E0
15-3016 TCX,Violet,#C0A8E0
15-3018 TCX,Blue Lavender,#B8A0E0
15-3020 TCX,Pastel Violet Light,#B898E0
15-3022 TCX,Amethyst,#B090E0
15-3024 TCX,Light Orchid,#A888E0
15-3026 TCX,Wisteria Dark,#A080E0
15-3214 TCX,Orchid Haze,#D8B0D8
15-3215 TCX,Orchid,#DDB0DD
15-3216 TCX,Pale Lavender,#DBC0E0
15-3617 TCX,Hydrangea Pastel,#A8B0D8
15-3713 TCX,Blue Fog Light,#B0B8D8
15-3715 TCX,Placid Blue Light,#A8B0D8
15-3807 TCX,White Violet,#D8D0E5
15-3815 TCX,Blue Bell Light,#A0A8D8
15-3817 TCX,Violet Tulip,#B8B8E8
15-3819 TCX,Lavender,#BAB5E5
15-3820 TCX,Hyacinth,#B8BAE8
15-3906 TCX,Lavender Fog,#C8C8D8
15-3910 TCX,Zircon,#C8D0E8
15-3912 TCX,Country Blue,#B8CADC
15-4003 TCX,Gray Mist,#C0C5CC
15-4005 TCX,Gray,#B0B8C4
15-4008 TCX,Kentucky Blue,#9AB0C8
15-4012 TCX,Forget Me Not,#90A8C8
15-4020 TCX,Dusty Blue,#A0B5D0
15-4030 TCX,Powder Blue,#A8C0D0
15-4101 TCX,Pearl Gray,#C0C8D0
15-4105 TCX,Blue Fog,#AAB5C8
15-4215 TCX,Colony Blue,#88A8C8
15-4220 TCX,Blue Bell Medium,#80A0C8
15-4302 TCX,Cashmere Blue,#A8BDD5
15-4305 TCX,Arctic Ice,#C8D8E5
15-4308 TCX,Stone,#A8B8C8
15-4310 TCX,Cerulean Blue Light,#80A0C0
15-4312 TCX,Spring Blue,#A0C0D8
15-4315 TCX,Cerulean Light,#78A0C0
15-4320 TCX,Little Boy Blue,#70A0C8
15-4323 TCX,Marina Blue,#6898C8
15-4325 TCX,Blue Yonder,#6898C8
15-4327 TCX,Blue Vista,#6090C8
15-4330 TCX,Powder Blue Dark,#5888C8
15-4411 TCX,Celestial,#A0B8C8
15-4422 TCX,Aquamarine,#6898C0
15-4424 TCX,Light Blue,#98BDD8
15-4425 TCX,Sky Blue Dark,#6090C0
15-4427 TCX,Blue Bell,#90BDD8
15-4430 TCX,Crystal Blue,#5080C0
15-4502 TCX,Illusion Blue,#A8C0D8
15-4505 TCX,Illusion Blue,#A0B2C0
15-4703 TCX,Silver,#B0B8C0
15-4706 TCX,Bleached Denim,#A8B8C8
15-4707 TCX,Silver Blue,#A0B0C0
15-4710 TCX,Dusty Aqua,#90A8B8
15-4712 TCX,Illusion Blue Dark,#88A0B8
15-4803 TCX,Arctic Silver,#C8D0DC
15-4807 TCX,Glacier Gray,#A8B8C4
15-5210 TCX,Gossamer,#80C0B8
15-5213 TCX,Green Blue,#78B8B0
15-5215 TCX,Glacier Green,#70B8B0
15-5217 TCX,Aqua Haze,#68B0A8
15-5220 TCX,Cabbage,#60B0A8
15-5312 TCX,Milky Blue,#78C0C8
15-5314 TCX,Porcelain,#70B8C0
15-5316 TCX,Aqua Sky,#68B0C0
15-5318 TCX,Aqua Splash,#60A8B8
15-5408 TCX,Aqua Blue,#88B8C0
15-5410 TCX,Tanager Turquoise,#80B0B8
15-5413 TCX,Cabbage Light,#78B0B8
15-5415 TCX,Aqua Foam,#70A8B0
15-5418 TCX,Seafoam,#68A0A8
15-5519 TCX,Turquoise,#78C8C0
15-5521 TCX,Turquoise Light,#68C0B8
15-5523 TCX,Island Paradise,#60C0B8
15-5525 TCX,Island Blue,#58B8B0
16-0207 TCX,Tea,#D0CABB
16-0208 TCX,Oatmeal Dark,#CEC5AA
16-0209 TCX,Peyote Dark,#C8C3AA
16-0211 TCX,Doeskin Dark,#C0B898
16-0213 TCX,Parchment Dark,#CCC0A0
16-0215 TCX,Birch Dark,#C8BA98
16-0217 TCX,Khaki Green,#B0A870
16-0219 TCX,Lovat,#A8A068
16-0220 TCX,Khaki Dark,#C0B08A
16-0224 TCX,Cornstalk,#C0B080
16-0225 TCX,Oil Yellow,#B8A848
16-0230 TCX,Willow,#90A84C
16-0233 TCX,Sap Green,#88A540
16-0235 TCX,Jade,#82A040
16-0237 TCX,Foliage,#7CA03C
16-0304 TCX,Pale Khaki,#D0C8AC
16-0320 TCX,Olive Haze,#B8AE80
16-0416 TCX,Olive Branch Dark,#98A048
16-0430 TCX,Fern,#909E48
16-0432 TCX,Pesto,#8E9A44
16-0520 TCX,Burnished Gold,#C0AC60
16-0522 TCX,Pistachio,#A8B048
16-0524 TCX,Dark Citron Light,#B0A840
16-0526 TCX,Willow Dark,#98A840
16-0540 TCX,Avocado,#84A038
16-0543 TCX,Green Olive,#7E9C34
16-0544 TCX,Jade Light,#80A030
16-0545 TCX,Kale,#7A9C30
16-0626 TCX,Fern Dark Light,#A0A450
16-0631 TCX,Pear,#A0AA48
16-0712 TCX,Slate Green,#A8A480
16-0720 TCX,Sea Fog,#A8A870
16-0723 TCX,Aloe Dark,#A0A060
16-0726 TCX,Toadstool,#A0A038
16-0728 TCX,Parrot,#98A830
16-0730 TCX,Fern Yellow,#98A038
16-0742 TCX,Moss,#909444
16-0750 TCX,Celery,#A0B840
16-0846 TCX,Spicy Mustard,#E8C040
16-0848 TCX,Mimosa,#F5D344
16-0850 TCX,Solar Power,#F5D040
16-0857 TCX,Yellow,#F5CC30
16-0920 TCX,Savannah,#D0B080
16-0924 TCX,Tarnished Gold,#C0A840
16-0926 TCX,Golden Nugget,#C0A830
16-0930 TCX,Dark Wheat,#C0A020
16-1010 TCX,Pebble,#D0B888
16-1012 TCX,Sand Light,#D0B078
16-1014 TCX,Sand Medium,#D0A868
16-1016 TCX,Sand Dark,#C8A060
16-1018 TCX,Warm Sand Dark,#C89858
16-1020 TCX,Warm Tan Light,#C09050
16-1022 TCX,Warm Tan,#C08848
16-1024 TCX,Tan,#D0A868
16-1026 TCX,Copper Light,#C08038
16-1028 TCX,Warm Copper,#C07830
16-1030 TCX,Amber Light,#C07020
16-1032 TCX,Amber Orange,#C06820
16-1034 TCX,Orange Amber Light,#C06018
16-1036 TCX,Autumn Orange Light,#C05810
16-1038 TCX,Sienna Orange,#B86818
16-1040 TCX,Orange Peel Light,#B86010
16-1107 TCX,Taupe Light,#C8B090
16-1109 TCX,Warm Tan Light,#C0A888
16-1111 TCX,Tawny Birch,#C0A070
16-1113 TCX,Gold Tan,#C09858
16-1115 TCX,Golden Olive,#C09048
16-1117 TCX,Caramel Light,#C08838
16-1118 TCX,Peach,#E8A880
16-1119 TCX,Warm Brown Light,#C08030
16-1120 TCX,Caramel,#E0A060
16-1121 TCX,Amber Warm,#C07828
16-1123 TCX,Dark Tan,#B07828
16-1125 TCX,Rust Brown,#B07020
16-1126 TCX,Dark Cheddar,#D09050
16-1127 TCX,Amber,#D08848
16-1143 TCX,Tangerine,#E89840
16-1144 TCX,Flame Orange,#E09038
16-1145 TCX,Orange,#E08830
16-1147 TCX,Harvest Pumpkin,#D87830
16-1153 TCX,Autumn Maple,#D87028
16-1157 TCX,Kumquat,#E07818
16-1163 TCX,Gold Flame,#E06810
16-1210 TCX,Apricot Light,#E8B888
16-1212 TCX,Apricot Peach,#E8B080
16-1214 TCX,Apricot Warm,#E0A870
16-1216 TCX,Peach Nougat,#E8B088
16-1218 TCX,Apricot Orange,#E0A060
16-1220 TCX,Apricot Dark,#D89858
16-1221 TCX,Apricot Nougat,#E8A870
16-1222 TCX,Apricot Deep,#D89048
16-1310 TCX,Beige Light,#D8BEA0
16-1312 TCX,Beige Medium,#D8B890
16-1314 TCX,Warm Beige Dark,#D0B080
16-1316 TCX,Warm Tan Light 2,#D0A870
16-1318 TCX,Tawny Orange,#C8A060
16-1320 TCX,Warm Amber,#C89850
16-1322 TCX,Sand,#D8B090
16-1324 TCX,Warm Camel,#D0A880
16-1326 TCX,Doeskin,#CCA070
16-1329 TCX,Warm Tan,#C89860
16-1338 TCX,Sienna,#C08050
16-1342 TCX,Golden Brown,#C07845
16-1408 TCX,Peach Beige,#E0C8B0
16-1410 TCX,Peach Warm,#E0C0A0
16-1412 TCX,Peach Medium,#D8B890
16-1414 TCX,Peach Deep,#D8B080
16-1416 TCX,Warm Peach,#D0A870
16-1418 TCX,Peach Dark,#D0A060
16-1420 TCX,Caramel Peach,#C89858
16-1422 TCX,Caramel Warm Light,#C89048
16-1424 TCX,Brown Caramel,#C08848
16-1426 TCX,Dark Caramel,#C08038
16-1428 TCX,Sienna Warm Light,#C07830
16-1429 TCX,Rust Sienna,#C07028
16-1431 TCX,Amber Sienna,#B87028
16-1433 TCX,Dark Sienna Light,#B86818
16-1435 TCX,Rust Dark Light,#B86010
16-1436 TCX,Caramel,#C87040
16-1437 TCX,Burnt Brick Light,#B05818
16-1439 TCX,Orange Brown,#A85818
16-1441 TCX,Brown Orange,#A85010
16-1508 TCX,Rose Water,#F0D5CC
16-1511 TCX,Blush,#E8C0B8
16-1512 TCX,Peach Blush Dark,#ECC0B0
16-1514 TCX,Peach Salmon,#E8B0A0
16-1516 TCX,Peach Cream,#E0B0A8
16-1518 TCX,Salmon,#E0A8A0
16-1520 TCX,Blossom,#DCA098
16-1522 TCX,Coral Peach,#E89888
16-1524 TCX,Salmon Warm,#E89078
16-1526 TCX,Desert Sand,#E0987C
16-1528 TCX,Coral Warm,#E08068
16-1532 TCX,Shrimp,#D87060
16-1534 TCX,Salmon Coral,#D86858
16-1536 TCX,Persimmon,#D86050
16-1538 TCX,Paprika,#D05840
16-1540 TCX,Autumn Maple Dark,#D05038
16-1542 TCX,Russet Orange,#C84830
16-1544 TCX,Hot Orange,#C84020
16-1546 TCX,Coral,#E0907A
16-1548 TCX,Living Coral,#FF6B6B
16-1610 TCX,Pale Mauve,#D8B0B0
16-1611 TCX,Misty Rose,#E0B0B0
16-1612 TCX,Peach Rose Light,#E8BCBC
16-1614 TCX,Rose Tan Light,#E0B0B0
16-1616 TCX,Crystal Rose,#E0A0A8
16-1618 TCX,Blush Rose,#D8A0A0
16-1620 TCX,Pink Lemonade,#E098A0
16-1622 TCX,Desert Rose,#D89090
16-1624 TCX,Sunkist Coral,#E08888
16-1626 TCX,Flamingo Pink,#E08080
16-1628 TCX,Flamingo Deep,#CC7878
16-1630 TCX,Flamingo Rose,#CC7070
16-1632 TCX,Rose Red,#CC6868
16-1634 TCX,Coral Rose,#CC6060
16-1636 TCX,Deep Coral,#CC5858
16-1638 TCX,Carnation,#CC5050
16-1640 TCX,Flamingo Bright,#CC4848
16-1642 TCX,Orange Flame,#C84030
16-1644 TCX,Red Orange,#C83828
16-1712 TCX,Rose Beige,#D8B0B8
16-1714 TCX,Cameo Pink,#D8A8B0
16-1716 TCX,Rose,#D0A0A8
16-1718 TCX,Rose Tan,#D098A0
16-1720 TCX,Aurora,#E090A0
16-1722 TCX,Blush Pink Dark,#CC8898
16-1723 TCX,Peony,#E07090
16-1724 TCX,Flamingo,#E07890
16-1726 TCX,Rose Quartz,#F7CAC9
16-1728 TCX,Rose Pink,#CC7888
16-1730 TCX,Camellia Pink,#CC7080
16-1733 TCX,Flamingo Pink Dark,#E07880
16-1736 TCX,Hot Coral Light,#CC5870
16-1804 TCX,Misty Rose Light,#E0B8B8
16-1808 TCX,Rose Blush,#E8C8CC
16-1811 TCX,Keepsake Rose,#E0A8A8
16-1812 TCX,Mellow Rose,#E0A0A0
16-1814 TCX,Blush Rose Light,#E0B0B0
16-1818 TCX,Rose Light,#D8A0A8
16-1822 TCX,Desert Rose Light,#D898A0
16-1825 TCX,Canyon Rose,#D09090
16-1826 TCX,Flamingo Rose Light,#D08888
16-1828 TCX,Peony Light,#CC8088
16-1908 TCX,Marshmallow Rose,#E8C0C0
16-1910 TCX,Crystal Pink,#E8BCBC
16-2116 TCX,Mauve Mist,#D898B8
16-2118 TCX,Foxglove Medium,#CC90B0
16-2120 TCX,Orchid Smoke,#D090B0
16-2212 TCX,Candy Pink,#E0B0C8
16-2214 TCX,Cotton Candy,#E0A8C0
16-2216 TCX,Wild Rose Light,#D898B8
16-2217 TCX,Foxglove,#CC88A8
16-2218 TCX,Wild Orchid,#CC88A8
16-2220 TCX,Sweet Lilac,#CC80A0
16-2222 TCX,Mauve Pink,#CC7898
16-2224 TCX,Dusty Rose Pink,#CC7090
16-2226 TCX,Deep Mauve,#C86888
16-2228 TCX,Bubblegum Pink,#C86080
16-2907 TCX,Lavender,#D8C0D8
16-2910 TCX,Orchid Blush,#E0C0DC
16-2912 TCX,Mauve Blush,#D8B0D0
16-2914 TCX,Mauve Light,#D0A0C8
16-2916 TCX,Mauve Medium,#C890C0
16-2918 TCX,Iris Light,#C080B8
16-3008 TCX,Violet Tint,#D0C0E0
16-3010 TCX,Lilac Light,#C8B0D8
16-3012 TCX,Lavender Light,#C0A8D0
16-3014 TCX,Pastel Violet Medium,#B898CC
16-3016 TCX,Languid Lavender Dark,#B090C8
16-3018 TCX,Hyacinth Light,#A888C8
16-3020 TCX,Violet Light,#A080C8
16-3022 TCX,Amethyst Light,#9878C8
16-3024 TCX,Crocus Light,#9070C8
16-3026 TCX,Purple Orchid,#8868C8
16-3112 TCX,Pastel Lilac Medium,#C0B0DC
16-3114 TCX,Lilac Medium,#B8A8D8
16-3115 TCX,Lilac,#D0B0DC
16-3116 TCX,Lavender Medium,#B0A0D0
16-3118 TCX,Violet Tulip Light,#C8A8DC
16-3120 TCX,African Violet,#C8A0D8
16-3122 TCX,Crocus Medium,#A090CC
16-3124 TCX,Grape Hyacinth,#9888CC
16-3126 TCX,Purple Light,#9080CC
16-3128 TCX,Violet Medium,#8878CC
16-3130 TCX,Deep Violet,#8070CC
16-3214 TCX,Iris Light Medium,#C0B0D8
16-3216 TCX,Orchid Light,#B8A8D0
16-3218 TCX,Lavender Orchid,#B0A0C8
16-3220 TCX,Orchid Medium,#A898C8
16-3222 TCX,Grape Light Medium,#A090C8
16-3224 TCX,Purple Orchid Medium,#9888C8
16-3226 TCX,Purple Iris,#9080C8
16-3228 TCX,Grape Medium,#9078C8
16-3230 TCX,Violet Iris,#8870C8
16-3310 TCX,Languid Lavender,#C8B0D8
16-3314 TCX,Pastel Lavender,#C0C0E0
16-3316 TCX,Pastel Violet,#B8B0D8
16-3318 TCX,Pale Violet,#B0A8D0
16-3320 TCX,Lavender Light Medium,#A8A0C8
16-3322 TCX,Thistle,#A098C8
16-3324 TCX,Blue Violet Light,#9890C8
16-3326 TCX,Grape Blue,#9088C8
16-3328 TCX,Navy Violet,#8880C8
16-3414 TCX,Lavender Mist,#C8C0E0
16-3416 TCX,Mauve Lilac,#C8A8D0
16-3418 TCX,Pale Blue Lavender,#B8B0D0
16-3420 TCX,Lilac Blue,#B0A8C8
16-3422 TCX,Wisteria Blue,#A8A0C0
16-3424 TCX,Iris Blue,#A098C0
16-3426 TCX,Violet Blue,#9890C0
16-3428 TCX,Navy Blue Violet,#9088C0
16-3430 TCX,Deep Violet Blue,#8880C0
16-3514 TCX,Pastel Blue Violet,#C0C0DC
16-3516 TCX,Periwinkle Light,#B8B8D8
16-3518 TCX,Periwinkle Medium,#B0B0D0
16-3520 TCX,Pastel Lilac,#C0A0D0
16-3522 TCX,Bluebell,#A0A0C0
16-3524 TCX,Dusty Periwinkle,#9898C0
16-3526 TCX,Navy Periwinkle,#9090C0
16-3528 TCX,Deep Periwinkle,#8888C0
16-3530 TCX,Dusty Violet Blue,#8080C0
16-3614 TCX,Baby Mauve,#D0BCDC
16-3616 TCX,Pastel Purple Light,#C8B4D8
16-3618 TCX,Lilac Purple,#C0ACD0
16-3620 TCX,Light Purple,#B8A4C8
16-3622 TCX,Purple Haze Light,#B09CC0
16-3624 TCX,Misty Purple,#A894B8
16-3626 TCX,Violet Light Dark,#A08CB0
16-3628 TCX,Dusk Purple,#9884A8
16-3630 TCX,Deep Lilac,#907CA0
16-3714 TCX,Icy Mauve,#CEC4DC
16-3716 TCX,Lavender Mauve,#C6BCD4
16-3718 TCX,Misty Mauve,#BEB4CC
16-3720 TCX,Periwinkle,#9898D0
16-3722 TCX,Dusty Lilac,#AEA4BC
16-3724 TCX,Muted Lavender,#A69CB4
16-3726 TCX,Slate Lavender,#9E94AC
16-3728 TCX,Deep Lavender Gray,#968CA4
16-3730 TCX,Navy Lavender,#8E849C
16-3810 TCX,Lavender Blue,#A8A8D8
16-3812 TCX,Blue Iris,#A0A0DC
16-3814 TCX,Blue Haze Light,#A8B8C8
16-3816 TCX,Bluebell Light,#A0B0C0
16-3818 TCX,Country Blue Light,#98A8B8
16-3820 TCX,English Lavender,#A098D8
